doctorID,hospital,name,designation,specilization,department,location,profilelink,about,milestones
Medanta001,Medanta,Dr. Naresh Trehan,"Chairman & Managing Director, Medanta",Cardiothoracic Surgery | Cardiovascular Surgery | Minimally Invasive Cardiac Surgery | Heart Transplant | Diplomate | Diplomate | M.B.B.S.,Cardiac Care,Gurugram,https://www.medanta.org/hospitals-near-me/gurugram-hospital/speciality/cardiology/doctor/dr-naresh-trehan,"About Dr. Naresh Trehan

Chairman and Managing Director of Medanta - The Medicity
Five decades of experience in the field of cardiovascular surgery
Received Padma Shri and Padma Bhushan awards from Government of India for distinguished service in medicine

The Chairman and Managing Director of Medanta The Medicity, Dr. Naresh Trehan is a world-renowned cardiovascular and cardiothoracic surgeon. He has been awarded the highly prestigious Padma Bhushan and the Padma Shri by the Government of India. Dr. Trehan has over 48,000 successful open heart surgeries to his credit and is the driving force behind the one-of-its-kind hospital.","Milestones Achieved
Rotary Ratna Award
1996
Rajiv Gandhi National Unity Award
1995
India International Gold Award
1995
Padma Shri
1991
Dr. B. C. Roy National Award
2005
Life Time Achievement Award
2002
FRACS (Hon)
2002
AMA Physician’s Recognition Award
2001
Padma Bhushan
2001
Rotary Ratna Award
1996
Rajiv Gandhi National Unity Award
1995
India International Gold Award
1995
Padma Shri
1991
Dr. B. C. Roy National Award
2005
Life Time Achievement Award
2002
FRACS (Hon)
2002
AMA Physician’s Recognition Award
2001
Padma Bhushan
2001
Rotary Ratna Award
1996
Rajiv Gandhi National Unity Award
1995
India International Gold Award
1995
Padma Shri
1991"
Medanta002,Medanta,Dr. Adarsh Chaudhary,Chairman,Advanced upper and lower GI oncosurgery | Surgery for pancreatic cancer and benign diseases | Hepatobiliary cancer and biliary stricture | Bariatric and minimally invasive surgery | FRCS | M.S.(General Surgery) | M.B.B.S.,Gastrosciences,Gurugram,https://www.medanta.org/hospitals-near-me/gurugram-hospital/speciality/gastroenterology/doctor/dr-adarsh-chaudhary,"About Dr. Adarsh Chaudhary

Highest number of Whipple's Surgery in India
Started first department of surgical gastroenterology in India
Fellow of Royal College of Surgeons (FRCS) of Edinburgh

Having trained in UK and the USA, Dr. Adarsh Chaudhary is a doctor with a rich experience in Hepatabillary and Pancreatic surgery. He was instrumental in starting one of the first departments of Surgical Gastroenterology in India. He has also won a number of highly prestigious awards and has been inducted in to respected medical associations such as his fellowships at the Royal College of Surgeons, Edinburgh and the World Health Organization, USA.","Milestones Achieved
First in M.B., B.S. - Speciality of Medicine, Awarded Dr.Devi Chand Memorial Gold Medal
1977
First position in M.B., B.S. Awarded Dr.Kranti Memorial Gold Medal
1977
First position in Physiology, Pharmacology, Forensic Medicine, Obstetrics & Gynaecology
Second position in Preventive Medicine, Ophthalmology & Otorrhinolaryngology
Awarded Fellowship of Royal College of Surgeons (FRCS) of Edinburgh
2004
Vocational Achivement Award by Rotary Club New Delhi
2002
Samaj Ratan Award by for contribution to the field of G.I.Surgery
2001
World Health Organisation Fellowship . University of California Los Angeles, U.S.A. Department of Liver Transplantation
1999
International Guest Speaker Award, Japan Surgical Society
1996
DAAD fellow [German Academic Exchange]
1995
Best paper award, Association of Surgeon’s of India [North Chapter], Shimla
1982
Pfizer Gold Medal and Scholarship for Postgraduate studies
1978
First in M.B., B.S. - Speciality of Medicine, Awarded Dr.Devi Chand Memorial Gold Medal
1977
First position in M.B., B.S. Awarded Dr.Kranti Memorial Gold Medal
1977
First position in Physiology, Pharmacology, Forensic Medicine, Obstetrics & Gynaecology
Second position in Preventive Medicine, Ophthalmology & Otorrhinolaryngology
Awarded Fellowship of Royal College of Surgeons (FRCS) of Edinburgh
2004
Vocational Achivement Award by Rotary Club New Delhi
2002
Samaj Ratan Award by for contribution to the field of G.I.Surgery
2001
World Health Organisation Fellowship . University of California Los Angeles, U.S.A. Department of Liver Transplantation
1999
International Guest Speaker Award, Japan Surgical Society
1996
DAAD fellow [German Academic Exchange]
1995
Best paper award, Association of Surgeon’s of India [North Chapter], Shimla
1982
Pfizer Gold Medal and Scholarship for Postgraduate studies
1978
First in M.B., B.S. - Speciality of Medicine, Awarded Dr.Devi Chand Memorial Gold Medal
1977
First position in M.B., B.S. Awarded Dr.Kranti Memorial Gold Medal
1977
First position in Physiology, Pharmacology, Forensic Medicine, Obstetrics & Gynaecology
Second position in Preventive Medicine, Ophthalmology & Otorrhinolaryngology"
Medanta003,Medanta,Dr. Anil Bhan,Chairman,Aortic aneurysm surgery | Pediatric cardiac surgery | Valve repairs | Peripheral Vascular Surgery | MCh (CTVS) | MS(General Surgery) | M.B.B.S.,Cardiac Care,Gurugram,https://www.medanta.org/hospitals-near-me/gurugram-hospital/speciality/cardiology/doctor/dr-anil-bhan,"About Dr. Anil Bhan

Started cardiac surgical programs at Puttaparthi, Whitefield and Max
Leading the designing and development of over 50 surgical instruments
Conducted over 15,000 successful cardiac and vascular procedures

Dr. Bhan is an outstanding cardiovascular surgeon and a graduate from Medical College Srinagar (Best outgoing graduate-Gold Medalist). He possesses largest experience in Aortic surgery in India. He has designed and developed more than 50 surgical instruments in the field of cardiac surgery. Dr. Bhan was one of the team members that performed the first successful Heart Transplantation in India (1994). He is associated with starting the three cardiac surgical programmes at Putta-parthi, 1992, Whitefield 2001 and Max Heart and Vascular Institute Saket (2004). He has performed more than 15,000 car... Continue Reading","Milestones Achieved
Delivered the prestigious P.K. Sen Oration at the CT Conference
2009
Performed the youngest bypass in the world literature with coronary aneurysm repair at the age of 18 months
2007
Did the first extra corporeal membrane oxygenation (ECMO) in India
2000
Used for the first time harmonic scalpel for the harvest of radial/internal mammary artery conduits in India
1995"
Medanta004,Medanta,Dr. Arun Garg,Chairman,Stroke | Occupational Therapy | D.M. (Neurology) | M.D. (General Medicine) | M.B.B.S.,Neurosciences,Gurugram,https://www.medanta.org/hospitals-near-me/gurugram-hospital/speciality/neurology/doctor/dr-arun-garg,"About Dr. Arun Garg

A senior neurologist with primary focus on Stroke
Proficient in Neuro-rehabilitation, Occupational therapy and Stroke prevention
Passion for stroke has taken him to UMASS, MA, USA

Dr. Arun Garg is a Senior Neurologist with primary focus on Stroke. Earlier he developed neurology services at Max Hospital, Patparganj. He has worked at Swai Man Singh Jaipur University medical college and hospital and institute of Human behaviour and Allied Sciences, New Delhi. He pioneered the role of thrombolysis in Acute Stroke in this part of the country. His interest is also in Neuro-rehabilitation, Occupational therapy and Stroke prevention. His passion for stroke has taken him to UMASS, MA, USA and he has tied up with them for stroke prevention/education/ treatment/Rehabilitation/ lat... Continue Reading","Mr. Sameer Biala
Mr Prashant Singh

To book an appointment with Dr. Arun Garg, click here - https://bit.ly/3SNjzdG Watch the inspiring story of Mr. Sameer Biala, a stroke survivor who has been getting treatment from Medanta since the last 2 years. After receiving prompt and expert care from Dr. Arun Garg, Mr. Sameer’s condition impro.....

Read More


"
Medanta005,Medanta,Dr. Arvind Kumar,Chairman,"Robotic Thymectomy | Key-Hole (VATS) Surgery of the Chest | VATS (Key-Hole) Surgery for Lung Cancer | Tracheal Resections for stenosis and tumours | Lung Esophageal Cancers | Thymoma, Cracinoid, Mediastilal & Tracheal Tumours | MBBS | MS Surgery | MNAMS | FUICC | FACS | FICS | FIAGES",Lung Transplant,Gurugram,https://www.medanta.org/hospitals-near-me/gurugram-hospital/speciality/lung-transplantation-chest-surgery/doctor/dr-arvind-kumar,notKnown,notKnown
Medanta006,Medanta,Dr. Arvinder Singh Soin,Chairman,Hepatocellular Carcinoma (Primary Liver Cancer) | Liver Transplant | Liver Surgeries | Choledochal Cyst | Portal Hypertension | Liver Surgeries | Choledochal Cyst | Portal Hypertension | FRCS (Gen Surg) | FRCS (Glas) | FRCS (Edin) | Primary FRCS | MS (THESIS) | MBBS,Liver Transplant,Gurugram                                                                                                                                     Lucknow,https://www.medanta.org/hospitals-near-me/gurugram-hospital/speciality/liver-transplantation/doctor/dr-arvinder-singh-soin,"About Dr. Arvinder Singh Soin

Everyday at Medanta

Performed over 2500 liver transplants with 95% success rate
Leads India’s largest and most successful liver transplant program
Credited with over 12000 complex liver, gall bladder and bile duct surgeries

Dr. AS Soin leads Indias largest and one of the worlds most successful liver transplant programs at Medanta The Medicity. Dr. Soin and his team is renowned for their 95% success rate, performing almost 25-30 successful transplants a month. His vast experience includes over 2500 liver transplants, which is the highest in the country. Over his 21 years, Dr. Soin has also performed more than 12000 other complex liver, gall bladder and bile duct surgeries, & is renowned for his pioneer work in establishing liver transplantation in India. He is responsible for training most of the liver teams in t... Continue Reading","Milestones Achieved
Awarded British Transplantation Society Bursary
1994
Ranked first in All India selection exam
1990
Best Postgraduate Student in Surgery medal at AIIMS, New Delhi
1989
Best Student in Surgery medal at AIIMS, New Delhi
1985
First successful cadaveric liver transplant in India
1998
First successful live donor left lobe liver transplant in india
1999
First successful combined liver and kidney transplant (cadaver) in india
1999
First successful live donor right lobe liver transplant in india
2000
First successful cadaveric liver transplant in India
1998
Swastha Bharat Samman
2011
E- medinews award
2011
Achievements listed in Limca Book of records
2007, 2008, 2009,2010
DMA Award
2010
Padma Shri
2010
Medindia Oration and Medindia Award
2008
DMA Distinguished Services Award
2005
Awarded Visiting Fellowship at the Kyoto Liver Transplant Unit British Transplantation Society Bursary
Awarded research grant from the Royal College of Surgeons, Edinburgh
1996
Awarded British Transplantation Society Bursary
1994
Ranked first in All India selection exam
1990
Best Postgraduate Student in Surgery medal at AIIMS, New Delhi
1989
Best Student in Surgery medal at AIIMS, New Delhi
1985
First successful cadaveric liver transplant in India
1998
First successful live donor left lobe liver transplant in india
1999
First successful combined liver and kidney transplant (cadaver) in india
1999
First successful live donor right lobe liver transplant in india
2000
First successful cadaveric liver transplant in India
1998
Swastha Bharat Samman
2011
E- medinews award
2011
Achievements listed in Limca Book of records
2007, 2008, 2009,2010
DMA Award
2010
Padma Shri
2010
Medindia Oration and Medindia Award
2008
DMA Distinguished Services Award
2005
Awarded Visiting Fellowship at the Kyoto Liver Transplant Unit British Transplantation Society Bursary
Awarded research grant from the Royal College of Surgeons, Edinburgh
1996
Awarded British Transplantation Society Bursary
1994
Ranked first in All India selection exam
1990
Best Postgraduate Student in Surgery medal at AIIMS, New Delhi
1989
Best Student in Surgery medal at AIIMS, New Delhi
1985"
Medanta007,Medanta,Dr. Ashok Kumar Vaid,Chairman,Organ-Specific Cancer Treatment | Leukemias | Solid Tumours | Lymphomas | D.M. (Medical Oncology) | M.D. (General Medicine) | M.B.B.S.,Cancer Care,Gurugram,https://www.medanta.org/hospitals-near-me/gurugram-hospital/speciality/oncology/doctor/dr-ashok-kumar-vaid,"About Dr. Ashok Kumar Vaid

Carried out the first 25 bone marrow transplants
Conducted more than 40 international and national studies in clinical research
Known for organizing numerous seminars, workshops and conferences

Dr. Ashok K. Vaid, is a distinguished and certified Medical Oncologist who has had the unique distinction of starting one of the largest Stem Cell Transplant programs in the private sector in north India. Dr Vaid currently serves as Chairman, Medical Oncology and Hematology and Stem Cell Transplant at the Medanta Cancer Institute, Gurugram, India. He brings over 30 years of clinical expertise with special interest in Cancer Genomics, Immunotherapy Guidance and Precision Onco-therapeutics, in addition to Dendritic Cell Therapy, and Stem Cell Transplant. He was awarded his Doctor of Medicine (DM... Continue Reading","Milestones Achieved
Padma Shri Award
2009
Chikitsa Shiromani Award
2007"
Medanta008,Medanta,Dr. Ashok Rajgopal,Group Chairman,Knee Replacement Surgery | Joint Replacement Surgery | Arthroscopic Ligament Surgeries | Arthroplasty Surgeries | Hip Surgery | Robotic Surgeries | F.R.C.S. | F.I.M.S.A. | M.Ch. (Ortho) | M.S. (Ortho) | M.B.B.S.,Orthopaedics,Gurugram,https://www.medanta.org/hospitals-near-me/gurugram-hospital/speciality/orthopaedics/doctor/dr-ashok-rajgopal,"About Dr. Ashok Rajgopal

Internationally renowned Orthopaedic surgeon with more than 39,000 total knee replacement surgeries to his credit
First to perform bilateral procedure and minimally invasive total knee replacement surgery in India
Designed and developed patented instruments for MIS total knee replacement surgeries, now used by surgeons worldwide

Innovation is a word that is immediately associated with Dr. Ashok Rajgopal. An orthopedic surgeon of international repute, he has several firsts to his credit. He performed the first bilateral total knee replacement surgery, the first minimally invasive joint replacement surgery in India, the first virtual total knee replacement using patient-specific instrumentation, and was the first surgeon to use gender-specific knees in India. A profile surgeon, he has to his credit, more than 39,000 total knee replacement surgeries and over 60,000 arthroscopic surgeries for sports injuries. A designer s... Continue Reading","Milestones Achieved
Vishishita Chikitsa Ratan Award
2012
Bharat Shiromani Award for professional excellence in the field of Orthopedics
2008-2009
Distinguished Service Award - Delhi Doctor Association
2004
Knee Ratna Award, IMA, New Delhi
2002
Lifetime Achievement Award, Alumni Association of Sancheti Institutes, Pune
2016
Life time award, APAS (Asia Pacific Arthroplasty Society)
2016
Dr. BC Roy award “To recognize the best talents in encouraging the development of specialities in different branches of Medicine”
2014
Padma Shri award for recognition of surgical excellence and contribution to the field of Orthopedics
2014
Vishishita Chikitsa Ratan Award
2012
Bharat Shiromani Award for professional excellence in the field of Orthopedics
2008-2009
Distinguished Service Award - Delhi Doctor Association
2004
Knee Ratna Award, IMA, New Delhi
2002
Lifetime Achievement Award, Alumni Association of Sancheti Institutes, Pune
2016
Life time award, APAS (Asia Pacific Arthroplasty Society)
2016
Dr. BC Roy award “To recognize the best talents in encouraging the development of specialities in different branches of Medicine”
2014
Padma Shri award for recognition of surgical excellence and contribution to the field of Orthopedics
2014
Vishishita Chikitsa Ratan Award
2012
Bharat Shiromani Award for professional excellence in the field of Orthopedics
2008-2009
Distinguished Service Award - Delhi Doctor Association
2004
Knee Ratna Award, IMA, New Delhi
2002"
Medanta009,Medanta,Dr. K. K. Handa,Chairman,Laryngology | Voice surgery | Cochlear implants | Endoscopic sinus surgery | Head and Neck surgery | Microscopic ear surgery | Senior Residency | Commonwealth Fellowship for Training in Lasers | DNB | MNAMS | MS(ENT) | MBBS,"ENT, Head and Neck Surgery",Gurugram,https://www.medanta.org/hospitals-near-me/gurugram-hospital/speciality/ent/doctor/dr-k-k-handa,"About Dr. K. K. Handa

Renowned laryngologist, voice surgeon and cochlear implant surgeon
27 years of experience in the speciality
Former Associate Professor at AIIMS, Delhi

Dr. K.K Handa is the Chairman of ENT and Head Neck Surgery at Medanta. He has more than 32 years of experience in the specialty. He has been heading the Department of ENT and head neck surgery since inception of Medanta in 2009. Prior to that he was working as Associate Professor, Department of ENT, All India Institute of Medical Sciences, New Delhi and was a faculty member there for 13 years and was also the Senior Resident in PGIMER Chandigarh. He is the former President of Association of Phono-surgeons of India and was the associations Founder Secretary. He is among the foremost voice and l... Continue Reading","Milestones Achieved
British Academic Conference Fellowship, BACO Conference, Cambridge, U.K
1996
AOI Travel Fellowship, Outstanding ENT Surgeon
1996
Silver Medal, First Order in the MS (ENT) examination
1993
Bharath Swasthya Samman Award by Zee News
2015
Best Otorhinolaryngologist, Times Research Foundation
2012
Marquis World's Who's Who, Work in field of ENT
2009
Kirti Gupta Oration, Work in Phonosurgery
2009
Delivered NK Agarwal oration, ""Phonosurgery Past Present and Future, Work in Phonosurgery
2008
First prize in Annual Conference of Association of Phonosurgeons of India, Best video presentation
2007
Dr R.D Kumar Oration, Work in Laryngology
2006
President's Appreciation Award, IMA South Delhi
2005
British Academic Conference Fellowship, BACO Conference, Cambridge, U.K
1996
AOI Travel Fellowship, Outstanding ENT Surgeon
1996
Silver Medal, First Order in the MS (ENT) examination
1993
Bharath Swasthya Samman Award by Zee News
2015
Best Otorhinolaryngologist, Times Research Foundation
2012
Marquis World's Who's Who, Work in field of ENT
2009
Kirti Gupta Oration, Work in Phonosurgery
2009
Delivered NK Agarwal oration, ""Phonosurgery Past Present and Future, Work in Phonosurgery
2008
First prize in Annual Conference of Association of Phonosurgeons of India, Best video presentation
2007
Dr R.D Kumar Oration, Work in Laryngology
2006
President's Appreciation Award, IMA South Delhi
2005
British Academic Conference Fellowship, BACO Conference, Cambridge, U.K
1996
AOI Travel Fellowship, Outstanding ENT Surgeon
1996
Silver Medal, First Order in the MS (ENT) examination
1993
Bharath Swasthya Samman Award by Zee News
2015"
Medanta010,Medanta,Dr. Praveen Chandra,Chairman,"Percutaneous Mitral Valve Replacement (TMVR) | Percutaneous Aortic Valve Replacement (TAVI) | Percutaneous Mitra Clip Implantation | Percutaneous Tricuspid Valve Replacement (PTRI) | Abdominal Aortic Aneurysm (AAA) | Coronary Angiography, Angioplasty & Stenting | Balloon Mitral Valvuloplasty (BMV) | Carotid & Renal Angiography & Angioplasty & Stenting (PTA) | Acute MI Angioplasty | D.M. (Cardiology) | M.D. (General Medicine) | M.B.B.S",Cardiac Care,Gurugram,https://www.medanta.org/hospitals-near-me/gurugram-hospital/speciality/cardiology/doctor/dr-praveen-chandra,"About Dr. Praveen Chandra

Performed first Percutaneous Aortic valve implantation without surgery in India
Author to over 100 articles and reviewer in leading medical journals
Awarded Padma Shri by the President of India in 2016

Dr. Praveen Chandra is a leading Indian Cardiologist and Chairman of Interventional Cardiology at Medanta Medicity, Gurgaon, India. He is recognized as one of the leaders in Angioplasty in the country and is proficient in a lot of new devices and technologies. He has been awarded for success and achievement in the field of medicine with Padma Shri in 2016 by the President of India. He has also served as Director of Cardiac Cath Lab & Acute MI Services at Max Healthcare and Consultant Cardiologist at Escorts Heart Institute and Research Center, New Delhi.He is a fellow of the Endovascular Inter... Continue Reading","Milestones Achieved
Awarded Padma Shri by the President of India in 2016
2016
Success and Achievement in the field of angioplasty in India, 1998
1998"
